"","word","AAD.freq","AAD.prop","DVC.freq","DVC.freq","dProp","dAbs"
"1","angel",211,0.837301587301587,6,0.00231124807395994,0.834990339227627,0.834990339227627
"2","god",126,0.5,105,0.0404468412942989,0.459553158705701,0.459553158705701
"3","heaven",71,0.281746031746032,22,0.00847457627118644,0.273271455474845,0.273271455474845
"4","earth",62,0.246031746031746,36,0.0138674884437596,0.232164257587986,0.232164257587986
"5","bodi",55,0.218253968253968,76,0.0292758089368259,0.188978159317142,0.188978159317142
"6","said",11,0.0436507936507936,536,0.206471494607088,-0.162820700956294,0.162820700956294
"7","bibl",42,0.166666666666667,26,0.0100154083204931,0.156651258346174,0.156651258346174
"8","creat",33,0.130952380952381,25,0.00963020030816641,0.121322180644215,0.121322180644215
"9","will",51,0.202380952380952,228,0.0878274268104777,0.114553525570475,0.114553525570475
"10","lord",28,0.111111111111111,18,0.00693374422187982,0.104177366889231,0.104177366889231
"11","thousand",28,0.111111111111111,23,0.0088597842835131,0.102251326827598,0.102251326827598
"12","spirit",24,0.0952380952380952,5,0.00192604006163328,0.0933120551764619,0.0933120551764619
"13","upon",24,0.0952380952380952,11,0.00423728813559322,0.091000807102502,0.091000807102502
"14","jesus",31,0.123015873015873,95,0.0365947611710324,0.0864211118448407,0.0864211118448407
"15","time",39,0.154761904761905,178,0.0685670261941448,0.0861948785677599,0.0861948785677599
"16","back",8,0.0317460317460317,295,0.113636363636364,-0.0818903318903319,0.0818903318903319
"17","shall",22,0.0873015873015873,20,0.00770416024653313,0.0795974270550542,0.0795974270550542
"18","old",22,0.0873015873015873,38,0.0146379044684129,0.0726636828331744,0.0726636828331744
"19","million",19,0.0753968253968254,17,0.00654853620955316,0.0688482891872722,0.0688482891872722
"20","place",29,0.115079365079365,124,0.0477657935285054,0.0673135715508597,0.0673135715508597
"21","say",24,0.0952380952380952,73,0.0281201848998459,0.0671179103382493,0.0671179103382493
"22","form",19,0.0753968253968254,24,0.00924499229583975,0.0661518331009856,0.0661518331009856
"23","know",40,0.158730158730159,243,0.0936055469953775,0.0651246117347812,0.0651246117347812
"24","also",22,0.0873015873015873,58,0.0223420647149461,0.0649595225866412,0.0649595225866412
"25","ministri",17,0.0674603174603175,7,0.00269645608628659,0.0647638613740309,0.0647638613740309
"26","now",26,0.103174603174603,430,0.165639445300462,-0.0624648421258591,0.0624648421258591
"27","mani",23,0.0912698412698413,76,0.0292758089368259,0.0619940323330154,0.0619940323330154
"28","great",19,0.0753968253968254,42,0.0161787365177196,0.0592180888791058,0.0592180888791058
"29","death",17,0.0674603174603175,27,0.0104006163328197,0.0570597011274977,0.0570597011274977
"30","without",20,0.0793650793650794,65,0.0250385208012327,0.0543265585638467,0.0543265585638467
"31","therefor",14,0.0555555555555556,7,0.00269645608628659,0.052859099469269,0.052859099469269
"32","scienc",13,0.0515873015873016,9,0.00346687211093991,0.0481204294763617,0.0481204294763617
"33","special",13,0.0515873015873016,10,0.00385208012326656,0.047735221464035,0.047735221464035
"34","definit",13,0.0515873015873016,12,0.00462249614791988,0.0469648054393817,0.0469648054393817
"35","son",13,0.0515873015873016,12,0.00462249614791988,0.0469648054393817,0.0469648054393817
"36","like",14,0.0555555555555556,266,0.102465331278891,-0.046909775723335,0.046909775723335
"37","subject",12,0.0476190476190476,6,0.00231124807395994,0.0453077995450877,0.0453077995450877
"38","see",10,0.0396825396825397,220,0.0847457627118644,-0.0450632230293247,0.0450632230293247
"39","revel",12,0.0476190476190476,8,0.00308166409861325,0.0445373835204344,0.0445373835204344
"40","year",22,0.0873015873015873,118,0.0454545454545455,0.0418470418470418,0.0418470418470418
"41","exist",13,0.0515873015873016,26,0.0100154083204931,0.0415718932668085,0.0415718932668085
"42","one",42,0.166666666666667,325,0.125192604006163,0.0414740626605033,0.0414740626605033
"43","believ",19,0.0753968253968254,89,0.0342835130970724,0.041113312299753,0.041113312299753
"44","refer",14,0.0555555555555556,41,0.0157935285053929,0.0397620270501626,0.0397620270501626
"45","saint",12,0.0476190476190476,22,0.00847457627118644,0.0391444713478612,0.0391444713478612
"46","star",12,0.0476190476190476,23,0.0088597842835131,0.0387592633355345,0.0387592633355345
"47","host",11,0.0436507936507936,15,0.00577812018489985,0.0378726734658938,0.0378726734658938
"48","armi",10,0.0396825396825397,5,0.00192604006163328,0.0377564996209064,0.0377564996209064
"49","wast",10,0.0396825396825397,5,0.00192604006163328,0.0377564996209064,0.0377564996209064
"50","differ",12,0.0476190476190476,26,0.0100154083204931,0.0376036392985546,0.0376036392985546
"51","vers",12,0.0476190476190476,26,0.0100154083204931,0.0376036392985546,0.0376036392985546
"52","fallen",10,0.0396825396825397,6,0.00231124807395994,0.0373712916085797,0.0373712916085797
"53","void",10,0.0396825396825397,7,0.00269645608628659,0.0369860835962531,0.0369860835962531
"54","ask",5,0.0198412698412698,146,0.0562403697996918,-0.036399099958422,0.036399099958422
"55","etern",10,0.0396825396825397,9,0.00346687211093991,0.0362156675715998,0.0362156675715998
