"","word","AAD.freq","AAD.prop","TLS.freq","TLS.freq","dProp","dAbs"
"1","angel",211,0.837301587301587,13,0.00476190476190476,0.832539682539683,0.832539682539683
"2","god",126,0.5,156,0.0571428571428571,0.442857142857143,0.442857142857143
"3","heaven",71,0.281746031746032,48,0.0175824175824176,0.264163614163614,0.264163614163614
"4","earth",62,0.246031746031746,63,0.0230769230769231,0.222954822954823,0.222954822954823
"5","said",11,0.0436507936507936,696,0.254945054945055,-0.211294261294261,0.211294261294261
"6","peter",5,0.0198412698412698,553,0.202564102564103,-0.182722832722833,0.182722832722833
"7","bodi",55,0.218253968253968,142,0.052014652014652,0.166239316239316,0.166239316239316
"8","bibl",42,0.166666666666667,46,0.0168498168498168,0.14981684981685,0.14981684981685
"9","will",51,0.202380952380952,227,0.0831501831501831,0.119230769230769,0.119230769230769
"10","jesus",31,0.123015873015873,24,0.00879120879120879,0.114224664224664,0.114224664224664
"11","creat",33,0.130952380952381,53,0.0194139194139194,0.111538461538462,0.111538461538462
"12","thousand",28,0.111111111111111,26,0.00952380952380952,0.101587301587302,0.101587301587302
"13","now",26,0.103174603174603,555,0.203296703296703,-0.1001221001221,0.1001221001221
"14","spirit",24,0.0952380952380952,11,0.00402930402930403,0.0912087912087912,0.0912087912087912
"15","genesi",23,0.0912698412698413,5,0.00183150183150183,0.0894383394383394,0.0894383394383394
"16","upon",24,0.0952380952380952,16,0.00586080586080586,0.0893772893772894,0.0893772893772894
"17","back",8,0.0317460317460317,316,0.115750915750916,-0.084004884004884,0.084004884004884
"18","shall",22,0.0873015873015873,18,0.00659340659340659,0.0807081807081807,0.0807081807081807
"19","scriptur",21,0.0833333333333333,12,0.0043956043956044,0.0789377289377289,0.0789377289377289
"20","man",21,0.0833333333333333,441,0.161538461538462,-0.0782051282051282,0.0782051282051282
"21","time",39,0.154761904761905,209,0.0765567765567766,0.0782051282051282,0.0782051282051282
"22","creatur",20,0.0793650793650794,8,0.00293040293040293,0.0764346764346764,0.0764346764346764
"23","like",14,0.0555555555555556,352,0.128937728937729,-0.0733821733821734,0.0733821733821734
"24","million",19,0.0753968253968254,15,0.00549450549450549,0.0699023199023199,0.0699023199023199
"25","place",29,0.115079365079365,129,0.0472527472527473,0.0678266178266178,0.0678266178266178
"26","also",22,0.0873015873015873,57,0.0208791208791209,0.0664224664224664,0.0664224664224664
"27","form",19,0.0753968253968254,27,0.00989010989010989,0.0655067155067155,0.0655067155067155
"28","christ",16,0.0634920634920635,8,0.00293040293040293,0.0605616605616606,0.0605616605616606
"29","see",10,0.0396825396825397,266,0.0974358974358974,-0.0577533577533578,0.0577533577533578
"30","know",40,0.158730158730159,276,0.101098901098901,0.0576312576312576,0.0576312576312576
"31","mani",23,0.0912698412698413,95,0.0347985347985348,0.0564713064713065,0.0564713064713065
"32","without",20,0.0793650793650794,64,0.0234432234432234,0.0559218559218559,0.0559218559218559
"33","say",24,0.0952380952380952,115,0.0421245421245421,0.0531135531135531,0.0531135531135531
"34","therefor",14,0.0555555555555556,8,0.00293040293040293,0.0526251526251526,0.0526251526251526
"35","death",17,0.0674603174603175,48,0.0175824175824176,0.0498778998778999,0.0498778998778999
"36","old",22,0.0873015873015873,110,0.0402930402930403,0.047008547008547,0.047008547008547
"37","definit",13,0.0515873015873016,13,0.00476190476190476,0.0468253968253968,0.0468253968253968
"38","light",7,0.0277777777777778,203,0.0743589743589744,-0.0465811965811966,0.0465811965811966
"39","special",13,0.0515873015873016,14,0.00512820512820513,0.0464590964590965,0.0464590964590965
"40","saint",12,0.0476190476190476,7,0.00256410256410256,0.0450549450549451,0.0450549450549451
"41","refer",14,0.0555555555555556,29,0.0106227106227106,0.0449328449328449,0.0449328449328449
"42","host",11,0.0436507936507936,6,0.0021978021978022,0.0414529914529915,0.0414529914529915
"43","revel",12,0.0476190476190476,17,0.00622710622710623,0.0413919413919414,0.0413919413919414
"44","want",5,0.0198412698412698,167,0.0611721611721612,-0.0413308913308913,0.0413308913308913
"45","present",11,0.0436507936507936,11,0.00402930402930403,0.0396214896214896,0.0396214896214896
