"","word","DVC.freq","DVC.prop","TLS.freq","TLS.freq","dProp","dAbs"
"1","peter",13,0.00500770416024653,553,0.202564102564103,-0.197556398403856,0.197556398403856
"2","solomon",17,0.00654853620955316,394,0.144322344322344,-0.137773808112791,0.137773808112791
"3","pyramid",40,0.0154083204930663,415,0.152014652014652,-0.136606331521586,0.136606331521586
"4","mason",16,0.0061633281972265,320,0.117216117216117,-0.111052789018891,0.111052789018891
"5","langdon",1579,0.60824345146379,1365,0.5,0.10824345146379,0.10824345146379
"6","church",236,0.0909090909090909,11,0.00402930402930403,0.0868797868797869,0.0868797868797869
"7","ancient",68,0.0261941448382126,260,0.0952380952380952,-0.0690439503998826,0.0690439503998826
"8","man",254,0.0978428351309707,441,0.161538461538462,-0.0636956264074908,0.0636956264074908
"9","brother",14,0.00539291217257319,166,0.0608058608058608,-0.0554129486332876,0.0554129486332876
"10","teacher",146,0.0562403697996918,9,0.0032967032967033,0.0529436665029885,0.0529436665029885
"11","holi",165,0.0635593220338983,29,0.0106227106227106,0.0529366114111877,0.0529366114111877
"12","said",536,0.206471494607088,696,0.254945054945055,-0.0484735603379671,0.0484735603379671
"13","build",57,0.0219568567026194,175,0.0641025641025641,-0.0421457073999447,0.0421457073999447
"14","hand",187,0.0720338983050847,310,0.113553113553114,-0.0415192152480288,0.0415192152480288
"15","polic",129,0.0496918335901387,23,0.00842490842490842,0.0412669251652302,0.0412669251652302
"16","great",42,0.0161787365177196,154,0.0564102564102564,-0.0402315198925368,0.0402315198925368
"17","dark",68,0.0261941448382126,181,0.0663003663003663,-0.0401062214621537,0.0401062214621537
"18","squar",7,0.00269645608628659,112,0.041025641025641,-0.0383291849393544,0.0383291849393544
"19","now",430,0.165639445300462,555,0.203296703296703,-0.037657257996241,0.037657257996241
"20","symbol",128,0.049306625577812,236,0.0864468864468864,-0.0371402608690744,0.0371402608690744
"21","bank",100,0.0385208012326656,10,0.00366300366300366,0.034857797569662,0.034857797569662
"22","mysteri",44,0.0169491525423729,139,0.0509157509157509,-0.033966598373378,0.033966598373378
"23","power",107,0.0412172573189522,205,0.0750915750915751,-0.0338743177726229,0.0338743177726229
"24","pari",92,0.0354391371340524,6,0.0021978021978022,0.0332413349362502,0.0332413349362502
"25","human",25,0.00963020030816641,117,0.0428571428571429,-0.0332269425489764,0.0332269425489764
"26","transform",5,0.00192604006163328,93,0.0340659340659341,-0.0321398940043008,0.0321398940043008
"27","tomb",91,0.0350539291217257,8,0.00293040293040293,0.0321235261913228,0.0321235261913228
"28","mystic",11,0.00423728813559322,98,0.0358974358974359,-0.0316601477618427,0.0316601477618427
"29","light",113,0.0435285053929122,203,0.0743589743589744,-0.0308304689660622,0.0308304689660622
"30","sir",103,0.0396764252696456,26,0.00952380952380952,0.0301526157458361,0.0301526157458361
"31","rose",108,0.0416024653312789,33,0.0120879120879121,0.0295145532433668,0.0295145532433668
"32","believ",89,0.0342835130970724,170,0.0622710622710623,-0.0279875491739899,0.0279875491739899
"33","jesus",95,0.0365947611710324,24,0.00879120879120879,0.0278035523798236,0.0278035523798236
"34","christ",78,0.0300462249614792,8,0.00293040293040293,0.0271158220310763,0.0271158220310763
"35","paint",95,0.0365947611710324,27,0.00989010989010989,0.0267046512809225,0.0267046512809225
"36","scienc",9,0.00346687211093991,82,0.03003663003663,-0.0265697579256901,0.0265697579256901
"37","like",266,0.102465331278891,352,0.128937728937729,-0.0264723976588384,0.0264723976588384
"38","yes",91,0.0350539291217257,24,0.00879120879120879,0.0262627203305169,0.0262627203305169
"39","professor",6,0.00231124807395994,77,0.0282051282051282,-0.0258938801311683,0.0258938801311683
