"","word","absolute.frequency","relative.frequency"
"1","langdon",1579,0.60824345146379
"2","sophi",1127,0.434129429892142
"3","teab",601,0.231510015408321
"4","said",536,0.206471494607088
"5","now",430,0.165639445300462
"6","look",418,0.161016949152542
"7","fach",398,0.153312788906009
"8","one",325,0.125192604006163
"9","back",295,0.113636363636364
"10","grail",290,0.11171032357473
"11","eye",283,0.109013867488444
"12","like",266,0.102465331278891
"13","sila",255,0.0982280431432974
"14","man",254,0.0978428351309707
"15","grandfath",245,0.0943759630200308
"16","know",243,0.0936055469953775
"17","turn",240,0.0924499229583975
"18","church",236,0.0909090909090909
"19","saunier",234,0.0901386748844376
"20","felt",234,0.0901386748844376
"21","will",228,0.0878274268104777
"22","see",220,0.0847457627118644
"23","call",196,0.0755007704160247
"24","even",195,0.075115562403698
"25","thought",193,0.0743451463790447
"26","hand",187,0.0720338983050847
"27","collet",181,0.0697226502311248
"28","aringarosa",181,0.0697226502311248
"29","time",178,0.0685670261941448
"30","priori",175,0.0674114021571649
"31","door",175,0.0674114021571649
"32","keyston",171,0.0658705701078582
"33","seem",170,0.0654853620955316
"34","remi",170,0.0654853620955316
"35","robert",169,0.0651001540832049
"36","open",168,0.0647149460708783
"37","secret",166,0.063944530046225
"38","floor",165,0.0635593220338983
"39","holi",165,0.0635593220338983
"40","just",162,0.0624036979969183
"41","tell",162,0.0624036979969183
"42","still",161,0.0620184899845917
"43","head",158,0.0608628659476117
"44","key",158,0.0608628659476117
"45","room",157,0.0604776579352851
"46","right",156,0.0600924499229584
"47","knight",154,0.0593220338983051
"48","moment",148,0.0570107858243451
"49","teacher",146,0.0562403697996918
"50","toward",146,0.0562403697996918
"51","ask",146,0.0562403697996918
"52","find",142,0.0546995377503852
"53","two",140,0.0539291217257319
"54","can",140,0.0539291217257319
"55","word",138,0.0531587057010786
"56","move",136,0.0523882896764253
"57","tonight",136,0.0523882896764253
"58","knew",135,0.0520030816640986
"59","take",134,0.051617873651772
"60","someth",134,0.051617873651772
"61","need",131,0.050462249614792
"62","yet",131,0.050462249614792
"63","long",130,0.0500770416024653
"64","box",130,0.0500770416024653
"65","vinci",129,0.0496918335901387
"66","polic",129,0.0496918335901387
"67","left",129,0.0496918335901387
"68","never",128,0.049306625577812
"69","symbol",128,0.049306625577812
"70","voic",124,0.0477657935285054
"71","place",124,0.0477657935285054
"72","told",124,0.0477657935285054
"73","chapter",124,0.0477657935285054
"74","way",123,0.0473805855161787
"75","made",123,0.0473805855161787
"76","number",123,0.0473805855161787
"77","across",123,0.0473805855161787
"78","feel",123,0.0473805855161787
"79","insid",122,0.0469953775038521
"80","get",122,0.0469953775038521
"81","tri",118,0.0454545454545455
"82","year",118,0.0454545454545455
"83","line",116,0.0446841294298921
"84","sens",116,0.0446841294298921
"85","vernet",115,0.0442989214175655
"86","make",115,0.0442989214175655
"87","phone",114,0.0439137134052388
"88","final",113,0.0435285053929122
"89","far",113,0.0435285053929122
"90","light",113,0.0435285053929122
"91","found",112,0.0431432973805855
"92","smile",112,0.0431432973805855
"93","messag",112,0.0431432973805855
"94","come",109,0.0419876733436055
"95","help",108,0.0416024653312789
"96","want",108,0.0416024653312789
"97","rose",108,0.0416024653312789
"98","leigh",108,0.0416024653312789
"99","agent",107,0.0412172573189522
"100","power",107,0.0412172573189522
"101","think",107,0.0412172573189522
"102","first",105,0.0404468412942989
"103","god",105,0.0404468412942989
"104","sir",103,0.0396764252696456
"105","direct",103,0.0396764252696456
"106","use",103,0.0396764252696456
"107","end",103,0.0396764252696456
"108","pull",102,0.039291217257319
"109","last",102,0.039291217257319
"110","name",102,0.039291217257319
"111","face",102,0.039291217257319
"112","sound",102,0.039291217257319
"113","well",101,0.0389060092449923
"114","woman",100,0.0385208012326656
"115","behind",100,0.0385208012326656
"116","bank",100,0.0385208012326656
"117","world",99,0.038135593220339
"118","point",99,0.038135593220339
"119","day",99,0.038135593220339
"120","neveu",99,0.038135593220339
"121","saw",98,0.0377503852080123
"122","anoth",98,0.0377503852080123
"123","realiz",97,0.0373651771956857
"124","work",96,0.036979969183359
"125","document",96,0.036979969183359
"126","around",96,0.036979969183359
"127","mari",96,0.036979969183359
"128","cryptex",96,0.036979969183359
"129","paint",95,0.0365947611710324
"130","away",95,0.0365947611710324
