"","word","absolute.frequency","relative.frequency"
"1","langdon",1365,0.5
"2","katherin",762,0.279120879120879
"3","said",696,0.254945054945055
"4","now",555,0.203296703296703
"5","peter",553,0.202564102564103
"6","man",441,0.161538461538462
"7","look",437,0.16007326007326
"8","pyramid",415,0.152014652014652
"9","solomon",394,0.144322344322344
"10","one",389,0.142490842490842
"11","sato",389,0.142490842490842
"12","malÂ",359,0.131501831501832
"13","like",352,0.128937728937729
"14","akh",328,0.12014652014652
"15","eye",322,0.117948717948718
"16","mason",320,0.117216117216117
"17","back",316,0.115750915750916
"18","hand",310,0.113553113553114
"19","bellami",279,0.102197802197802
"20","know",276,0.101098901098901
"21","see",266,0.0974358974358974
"22","ancient",260,0.0952380952380952
"23","door",244,0.0893772893772894
"24","symbol",236,0.0864468864468864
"25","open",232,0.084981684981685
"26","just",232,0.084981684981685
"27","felt",231,0.0846153846153846
"28","will",227,0.0831501831501831
"29","room",226,0.0827838827838828
"30","call",225,0.0824175824175824
"31","even",217,0.0794871794871795
"32","secret",211,0.0772893772893773
"33","head",211,0.0772893772893773
"34","time",209,0.0765567765567766
"35","thought",207,0.0758241758241758
"36","word",207,0.0758241758241758
"37","power",205,0.0750915750915751
"38","light",203,0.0743589743589744
"39","turn",203,0.0743589743589744
"40","anderson",203,0.0743589743589744
"41","still",196,0.0717948717948718
"42","can",190,0.0695970695970696
"43","robert",186,0.0681318681318681
"44","dark",181,0.0663003663003663
"45","build",175,0.0641025641025641
"46","peterÂ",173,0.0633699633699634
"47","tell",172,0.063003663003663
"48","believ",170,0.0622710622710623
"49","voic",168,0.0615384615384615
"50","want",167,0.0611721611721612
"51","moment",167,0.0611721611721612
"52","brother",166,0.0608058608058608
"53","knew",165,0.0604395604395604
"54","world",162,0.0593406593406593
"55","langdonÂ",162,0.0593406593406593
"56","long",161,0.058974358974359
"57","way",161,0.058974358974359
"58","tonight",160,0.0586080586080586
"59","seem",160,0.0586080586080586
"60","toward",159,0.0582417582417582
"61","yet",157,0.0575091575091575
"62","god",156,0.0571428571428571
"63","someth",155,0.0567765567765568
"64","great",154,0.0564102564102564
"65","phone",153,0.056043956043956
"66","point",152,0.0556776556776557
"67","donÂ",151,0.0553113553113553
"68","face",149,0.0545787545787546
"69","around",148,0.0542124542124542
"70","stone",148,0.0542124542124542
"71","tri",148,0.0542124542124542
"72","told",147,0.0538461538461538
"73","stare",146,0.0534798534798535
"74","trish",146,0.0534798534798535
"75","right",142,0.052014652014652
"76","bodi",142,0.052014652014652
